SCHID,NAME,RC_CODE,School Name:,Organization Name:,Website:_1,Program Name:,Program Description:,Time,OST_CATEGORY,Grades Served:,PROG_PREK,PROG_ELEM,PROG_MIDDLE,SCHOOL_PREK,SCHOOL_ELEM,SCHOOL_MIDDLE,Program Areas:,Program Subareas:,Days of Operation:,Student Fees?,Explanation of Student Fees,Service Capacity
00350074,Dearborn STEM Academy,101516,Dearborn STEM Academy,Apprentice Learning,www.apprenticelearning.org,Apprenticeships,"Our apprenticeship program offers 8th grade students exposure to the culture of work through apprenticeships. As part of their school day, students at our partner schools receive 24 hours of programming over 12 weeks, which includes 6 weekly one-hour preparatory classes and 12-18 hours of a workplace-based apprenticeship. Preparatory classes help students identify their strengths and build a toolkit of communication and self-presentation techniques. Based on their interests, students are matched with a business partner where they spend 2-3 hours a week for six weeks. Students work alongside a mentor who assigns entry-level work tasks, supervises their work, and offers insight into his/her field of business and related careers. AL staff works with our business partners to create experiences that are developmentally appropriate and engaging for the students. To date, 306 students have completed apprenticeships.

Apprentices gain valuable skills, as well as the sense of ‘belonging’ to a professional community. Students apprentice individually or in small groups. AL staff visit each site during the apprenticeship to check in with employers and to observe students at work. As a result of participating in Apprentice Learning, students acquire knowledge and learn:
• Appropriate workplace behavior, language, dress, and mannerisms;
• Presentation and oral communication skills, and the ability to advocate for oneself;
• How to engage confidently with unfamiliar adults in unfamiliar settings; and
• How attendance, punctuality and persistence are essential to academic and career success. 

Our partner schools have included the apprenticeship program as part of students’ eighth grade graduation portfolios. Every student at our partner schools graduates with a resume in hand and intensive support in finding a summer job or enrichment program.

Participating organizations include engineering labs, hospitals, retail stores and non-profits. A partial list of worksite partners includes: Related Beal, Stantec, Boston Society of Architects, Loop Lab, Netsuite Oracle, Community Boatbuilding of Boston and others.",School Day,NOT_OST,'8',False,False,True,False,False,True,"'Academic Support & Enrichment','College, Career & Life Readiness'","'Identity Exploration','Job & Employment Preparation','Mentoring','Resume Development','Service-Learning','Work-based Learning'","'Thursday','Friday'",No,There are no fees for students to participate.,100.0
00350015,Higginson Inclusion K0-2 School,101303,Higginson Inclusion K-2 School,Apprentice Learning,www.apprenticelearning.org,Apprenticeships,"Our apprenticeship program offers 8th grade students exposure to the culture of work through apprenticeships. As part of their school day, students at our partner schools receive 24 hours of programming over 12 weeks, which includes 6 weekly one-hour preparatory classes and 12-18 hours of a workplace-based apprenticeship. Preparatory classes help students identify their strengths and build a toolkit of communication and self-presentation techniques. Based on their interests, students are matched with a business partner where they spend 2-3 hours a week for six weeks. Students work alongside a mentor who assigns entry-level work tasks, supervises their work, and offers insight into his/her field of business and related careers. AL staff works with our business partners to create experiences that are developmentally appropriate and engaging for the students. To date, 306 students have completed apprenticeships.

Apprentices gain valuable skills, as well as the sense of ‘belonging’ to a professional community. Students apprentice individually or in small groups. AL staff visit each site during the apprenticeship to check in with employers and to observe students at work. As a result of participating in Apprentice Learning, students acquire knowledge and learn:
• Appropriate workplace behavior, language, dress, and mannerisms;
• Presentation and oral communication skills, and the ability to advocate for oneself;
• How to engage confidently with unfamiliar adults in unfamiliar settings; and
• How attendance, punctuality and persistence are essential to academic and career success. 

Our partner schools have included the apprenticeship program as part of students’ eighth grade graduation portfolios. Every student at our partner schools graduates with a resume in hand and intensive support in finding a summer job or enrichment program.

Participating organizations include engineering labs, hospitals, retail stores and non-profits. A partial list of worksite partners includes: Related Beal, Stantec, Boston Society of Architects, Loop Lab, Netsuite Oracle, Community Boatbuilding of Boston and others.",School Day,NOT_OST,'8',False,False,True,True,True,False,"'Academic Support & Enrichment','College, Career & Life Readiness'","'Identity Exploration','Job & Employment Preparation','Mentoring','Resume Development','Service-Learning','Work-based Learning'",'Wednesday',No,There are no fees for students to participate.,50.0
00350146,Condon K-8 School,101251,Condon Elementary School,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,"'K0','K1','K2','1','2','3','4','5','6','7','8'",True,True,True,True,True,True,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',"'Monday','Tuesday','Wednesday','Thursday','Friday'",No,,60.0
00350266,Henderson K-12 Inclusion School Lower,101373,Henderson Inclusion School 9-12,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,"'9','10','11','12'",False,False,False,True,True,False,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',"'Tuesday','Thursday','Friday'",No,,18.0
00350266,Henderson K-12 Inclusion School Lower,101373,Henderson Inclusion School K-8,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,"'3','4','5','6','7','8'",False,True,True,True,True,False,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',"'Tuesday','Thursday','Friday'",No,,12.0
00350691,Hernandez Elementary School,101301,Hernández K-8 School,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,"'K0','K1','K2','1','2','3','4','5','6','7','8'",True,True,True,True,True,True,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',"'Wednesday','Thursday'",No,,
00350377,Higginson/Lewis K-8 School,101540,Higginson/Lewis 3-8 School,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,,False,False,False,False,True,True,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',,No,,14.0
00350227,Mather Elementary School,101348,Mather Elementary School,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,"'K0','K1','K2','1','2','3','4','5'",True,True,False,True,True,True,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',"'Wednesday','Thursday'",No,,8.0
00350286,Quincy Elementary School,101398,Quincy Elementary School,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,"'K0','K1','K2','1','2','3','4','5','6'",True,True,True,True,True,False,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',"'Wednesday','Friday'",No,,12.0
00350558,Ruth Batson Academy,101609,Ruth Batson Academy,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,"'6','7','8','9','10','11','12'",False,False,True,False,False,True,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',"'Tuesday','Wednesday','Thursday'",No,,18.0
00350690,Snowden International High School,101633,Snowden International School,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,"'9','10','11','12'",False,False,False,False,False,False,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',"'Tuesday','Friday'",No,,12.0
,,,Boston Day/Evening Academy,"Arbour Counseling Services, Allston",https://arbourhealth.com/,Arbour Counseling Services,"We believe children are experts at getting their needs met.  Often this requires children to engage in maladaptive behaviors, which we view as their way of communicating their needs.  We utilize non-directive child-centered therapy to empower children to express their thoughts, feelings, and behaviors.  
Younger children often use play- their most natural form of learning and communication- to re-work problems, understand and identify feelings, become sensitive to the process of coping, experience a feeling of greater sense of control and to safely grow and learn emotionally, becoming trusting of self and assuming greater self-responsibility. 
With these same objectives we engage older children utilizing a person-centered therapy approach.  Adolescents and young people are naturally in a phase of life of self-discovery and meaning making.  Providing unconditional care and allowing them to lead the therapeutic process supports their emotional, social, and cognitive development.",,NOT_OST,"'9','10','11','12','Alternative Education'",False,False,False,,,,"'Social, Emotional & Behavioral Health'",'Mental and Behavioral Health',"'Tuesday','Friday'",No,,12.0
